"REF_DATE","GEO","DGUID","Prices","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990","Canada","2016A000011124","Chained (2012) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787252","1.1.1","828839","","","","0"
"1991","Canada","2016A000011124","Chained (2012) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787252","1.1.1","827908","","","","0"
"1992","Canada","2016A000011124","Chained (2012) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787252","1.1.1","838885","","","","0"
"1993","Canada","2016A000011124","Chained (2012) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787252","1.1.1","849342","","","","0"
"1994","Canada","2016A000011124","Chained (2012) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787252","1.1.1","863867","","","","0"
"1995","Canada","2016A000011124","Chained (2012) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787252","1.1.1","875258","","","","0"
"1996","Canada","2016A000011124","Chained (2012) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787252","1.1.1","889332","","","","0"
"1997","Canada","2016A000011124","Chained (2012) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787252","1.1.1","919699","","","","0"
"1998","Canada","2016A000011124","Chained (2012) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787252","1.1.1","942923","","","","0"
"1999","Canada","2016A000011124","Chained (2012) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787252","1.1.1","975721","","","","0"
"2000","Canada","2016A000011124","Chained (2012) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787252","1.1.1","1013797","","","","0"
"2001","Canada","2016A000011124","Chained (2012) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787252","1.1.1","1040780","","","","0"
"2002","Canada","2016A000011124","Chained (2012) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787252","1.1.1","1077619","","","","0"
"2003","Canada","2016A000011124","Chained (2012) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787252","1.1.1","1107570","","","","0"
"2004","Canada","2016A000011124","Chained (2012) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787252","1.1.1","1138007","","","","0"
"2005","Canada","2016A000011124","Chained (2012) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787252","1.1.1","1174123","","","","0"
"2006","Canada","2016A000011124","Chained (2012) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787252","1.1.1","1218962","","","","0"
"2007","Canada","2016A000011124","Chained (2012) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787252","1.1.1","1266209","","","","0"
"2008","Canada","2016A000011124","Chained (2012) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787252","1.1.1","1306727","","","","0"
"2009","Canada","2016A000011124","Chained (2012) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787252","1.1.1","1316925","","","","0"
"2010","Canada","2016A000011124","Chained (2012) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787252","1.1.1","1359295","","","","0"
"2011","Canada","2016A000011124","Chained (2012) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787252","1.1.1","1386653","","","","0"
"2012","Canada","2016A000011124","Chained (2012) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787252","1.1.1","1408376","","","","0"
"2013","Canada","2016A000011124","Chained (2012) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787252","1.1.1","1432122","","","","0"
"2014","Canada","2016A000011124","Chained (2012) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787252","1.1.1","1461209","","","","0"
"2015","Canada","2016A000011124","Chained (2012) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787252","1.1.1","1491401","","","","0"
"2016","Canada","2016A000011124","Chained (2012) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787252","1.1.1","1521490","","","","0"
"2017","Canada","2016A000011124","Chained (2012) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787252","1.1.1","1571163","","","","0"
"2018","Canada","2016A000011124","Chained (2012) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787252","1.1.1","1614849","","","","0"
"2019","Canada","2016A000011124","Chained (2012) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787252","1.1.1","1639313","","","","0"
"2020","Canada","2016A000011124","Chained (2012) dollars","Final consumption expenditure","Dollars","81","millions","6","v62787252","1.1.1","1565896","","","","0"
"1990","Canada","2016A000011124","Chained (2012) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","548560","","","","0"
"1991","Canada","2016A000011124","Chained (2012) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","541324","","","","0"
"1992","Canada","2016A000011124","Chained (2012) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","549141","","","","0"
"1993","Canada","2016A000011124","Chained (2012) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","559496","","","","0"
"1994","Canada","2016A000011124","Chained (2012) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","576297","","","","0"
"1995","Canada","2016A000011124","Chained (2012) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","588841","","","","0"
"1996","Canada","2016A000011124","Chained (2012) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","605014","","","","0"
"1997","Canada","2016A000011124","Chained (2012) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","632509","","","","0"
"1998","Canada","2016A000011124","Chained (2012) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","650162","","","","0"
"1999","Canada","2016A000011124","Chained (2012) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","674479","","","","0"
"2000","Canada","2016A000011124","Chained (2012) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","701723","","","","0"
"2001","Canada","2016A000011124","Chained (2012) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","718251","","","","0"
"2002","Canada","2016A000011124","Chained (2012) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","745998","","","","0"
"2003","Canada","2016A000011124","Chained (2012) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","767570","","","","0"
"2004","Canada","2016A000011124","Chained (2012) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","792406","","","","0"
"2005","Canada","2016A000011124","Chained (2012) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","822991","","","","0"
"2006","Canada","2016A000011124","Chained (2012) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","857676","","","","0"
"2007","Canada","2016A000011124","Chained (2012) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","896977","","","","0"
"2008","Canada","2016A000011124","Chained (2012) dollars","Household final consumption expenditure","Dollars","81","millions","6","v62787253","1.1.2","922357","","","","0"
