Estimates,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Final consumption expenditure,"828,839","827,908","838,885","849,342","863,867","875,258","889,332","919,699","942,923","975,721","1,013,797","1,040,780","1,077,619","1,107,570","1,138,007","1,174,123","1,218,962","1,266,209","1,306,727","1,316,925","1,359,295","1,386,653","1,408,376","1,432,122","1,461,209","1,491,401","1,521,490","1,571,163","1,614,849","1,639,313","1,565,896"
Household final consumption expenditure,"548,560","541,324","549,141","559,496","576,297","588,841","605,014","632,509","650,162","674,479","701,723","718,251","745,998","767,570","792,406","822,991","857,676","896,977","922,357","924,237","958,570","979,472","998,053","1,024,271","1,051,562","1,075,348","1,096,095","1,137,411","1,167,376","1,183,595","1,109,844"
Goods,"255,510","248,345","250,195","254,538","263,212","267,756","273,562","287,540","297,128","310,015","323,481","330,901","346,541","355,812","364,737","375,294","390,403","408,096","420,698","418,245","431,718","437,872","444,633","458,094","471,589","482,358","491,583","512,704","526,215","530,454","525,007"
Durable goods,"52,075","50,173","50,302","50,847","53,072","53,502","55,904","63,168","66,022","71,270","76,366","79,175","85,976","88,855","91,162","95,501","101,954","108,537","114,301","110,928","116,318","118,179","121,511","126,765","133,372","137,464","142,504","152,813","157,095","156,979","148,561"
Semi-durable goods,"34,190","31,826","32,084","33,045","34,453","35,986","36,360","37,752","39,690","41,035","43,110","45,048","47,344","49,196","51,231","53,739","57,913","61,520","64,281","63,767","67,474","69,435","71,584","74,068","76,479","79,267","80,408","83,794","86,679","88,212","81,921"
Non-durable goods,"178,817","176,986","178,634","181,546","186,433","188,810","191,568","194,962","199,103","204,558","209,841","211,638","216,956","221,128","225,462","228,435","231,869","238,793","242,301","243,949","248,001","250,278","251,538","257,266","261,821","265,734","268,783","276,135","282,492","285,342","294,128"
Services,"291,953","292,615","298,897","304,952","312,975","321,086","331,602","344,988","352,919","364,212","377,909","387,034","398,930","411,276","427,365","447,649","467,277","488,870","501,617","505,982","526,841","541,596","553,420","566,207","580,021","593,042","604,558","624,848","641,299","653,143","586,558"
Non-profit institutions serving households' final consumption expenditure,"10,113","10,982","11,646","11,720","11,480","12,096","13,741","16,666","16,730","18,816","19,772","20,650","22,594","21,964","21,153","22,545","23,350","22,897","25,019","23,944","23,618","25,088","25,553","26,227","26,012","27,236","29,687","29,798","30,576","31,496","30,619"
General governments final consumption expenditure,"277,509","284,045","286,356","285,784","282,538","279,731","274,394","272,762","278,008","284,025","293,787","303,792","310,663","319,611","325,604","329,067","338,121","346,151","359,171","368,856","377,158","382,104","384,770","381,730","383,840","389,072","395,989","404,367","417,274","424,569","424,664"
